province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
New South Wales,Australia,2020-02-06,,,,4,0,2,,,,
Queensland,Australia,2020-02-06,,,,4,0,0,,,,
Victoria,Australia,2020-02-06,,,,4,0,0,,,,
South Australia,Australia,2020-02-06,,,,2,0,0,,,,
Queensland,Australia,2020-02-07,,,,5,0,0,,,,
New South Wales,Australia,2020-02-07,,,,4,0,2,,,,
Victoria,Australia,2020-02-07,,,,4,0,0,,,,
South Australia,Australia,2020-02-07,,,,2,0,0,,,,
Queensland,Australia,2020-02-08,,,,5,0,0,,,,
New South Wales,Australia,2020-02-08,,,,4,0,2,,,,
Victoria,Australia,2020-02-08,,,,4,0,0,,,,
South Australia,Australia,2020-02-08,,,,2,0,0,,,,
Queensland,Australia,2020-02-09,,,,5,0,0,,,,
New South Wales,Australia,2020-02-09,,,,4,0,2,,,,
Victoria,Australia,2020-02-09,,,,4,0,0,,,,
South Australia,Australia,2020-02-09,,,,2,0,0,,,,
Queensland,Australia,2020-02-10,,,,5,0,0,,,,
New South Wales,Australia,2020-02-10,,,,4,0,2,,,,
Victoria,Australia,2020-02-10,,,,4,0,0,,,,
South Australia,Australia,2020-02-10,,,,2,0,0,,,,
Queensland,Australia,2020-02-11,,,,5,0,0,,,,
New South Wales,Australia,2020-02-11,,,,4,0,2,,,,
Victoria,Australia,2020-02-11,,,,4,0,0,,,,
South Australia,Australia,2020-02-11,,,,2,0,0,,,,
Queensland,Australia,2020-02-12,,,,5,0,0,,,,
New South Wales,Australia,2020-02-12,,,,4,0,2,,,,
Victoria,Australia,2020-02-12,,,,4,0,0,,,,
South Australia,Australia,2020-02-12,,,,2,0,0,,,,
Queensland,Australia,2020-02-13,,,,5,0,0,,,,
New South Wales,Australia,2020-02-13,,,,4,0,4,,,,
Victoria,Australia,2020-02-13,,,,4,0,4,,,,
South Australia,Australia,2020-02-13,,,,2,0,0,,,,
Queensland,Australia,2020-02-14,,,,5,0,0,,,,
New South Wales,Australia,2020-02-14,,,,4,0,4,,,,
Victoria,Australia,2020-02-14,,,,4,0,4,,,,
South Australia,Australia,2020-02-14,,,,2,0,0,,,,
Queensland,Australia,2020-02-15,,,,5,0,0,,,,
New South Wales,Australia,2020-02-15,,,,4,0,4,,,,
Victoria,Australia,2020-02-15,,,,4,0,4,,,,
South Australia,Australia,2020-02-15,,,,2,0,0,,,,
Queensland,Australia,2020-02-16,,,,5,0,0,,,,
New South Wales,Australia,2020-02-16,,,,4,0,4,,,,
Victoria,Australia,2020-02-16,,,,4,0,4,,,,
South Australia,Australia,2020-02-16,,,,2,0,0,,,,
Queensland,Australia,2020-02-17,,,,5,0,0,,,,
New South Wales,Australia,2020-02-17,,,,4,0,4,,,,
Victoria,Australia,2020-02-17,,,,4,0,4,,,,
South Australia,Australia,2020-02-17,,,,2,0,2,,,,
Queensland,Australia,2020-02-18,,,,5,0,0,,,,
New South Wales,Australia,2020-02-18,,,,4,0,4,,,,
Victoria,Australia,2020-02-18,,,,4,0,4,,,,
South Australia,Australia,2020-02-18,,,,2,0,2,,,,
Queensland,Australia,2020-02-19,,,,5,0,0,,,,
New South Wales,Australia,2020-02-19,,,,4,0,4,,,,
Victoria,Australia,2020-02-19,,,,4,0,4,,,,
South Australia,Australia,2020-02-19,,,,2,0,2,,,,
Queensland,Australia,2020-02-20,,,,5,0,0,,,,
New South Wales,Australia,2020-02-20,,,,4,0,4,,,,
Victoria,Australia,2020-02-20,,,,4,0,4,,,,
South Australia,Australia,2020-02-20,,,,2,0,2,,,,
Queensland,Australia,2020-02-21,,,,5,0,1,,,,
From Diamond Princess,Australia,2020-02-21,,,,4,0,0,,,,
New South Wales,Australia,2020-02-21,,,,4,0,4,,,,
Victoria,Australia,2020-02-21,,,,4,0,4,,,,
South Australia,Australia,2020-02-21,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-22,,,,7,0,0,,,,
Queensland,Australia,2020-02-22,,,,5,0,1,,,,
New South Wales,Australia,2020-02-22,,,,4,0,4,,,,
Victoria,Australia,2020-02-22,,,,4,0,4,,,,
South Australia,Australia,2020-02-22,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-23,,,,7,0,0,,,,
Queensland,Australia,2020-02-23,,,,5,0,1,,,,
New South Wales,Australia,2020-02-23,,,,4,0,4,,,,
Victoria,Australia,2020-02-23,,,,4,0,4,,,,
South Australia,Australia,2020-02-23,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-24,,,,7,0,0,,,,
Queensland,Australia,2020-02-24,,,,5,0,1,,,,
New South Wales,Australia,2020-02-24,,,,4,0,4,,,,
Victoria,Australia,2020-02-24,,,,4,0,4,,,,
South Australia,Australia,2020-02-24,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-25,,,,7,0,0,,,,
Queensland,Australia,2020-02-25,,,,5,0,1,,,,
New South Wales,Australia,2020-02-25,,,,4,0,4,,,,
Victoria,Australia,2020-02-25,,,,4,0,4,,,,
South Australia,Australia,2020-02-25,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-26,,,,7,0,0,,,,
Queensland,Australia,2020-02-26,,,,5,0,1,,,,
New South Wales,Australia,2020-02-26,,,,4,0,4,,,,
Victoria,Australia,2020-02-26,,,,4,0,4,,,,
South Australia,Australia,2020-02-26,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-27,,,,8,0,0,,,,
Queensland,Australia,2020-02-27,,,,5,0,1,,,,
New South Wales,Australia,2020-02-27,,,,4,0,4,,,,
Victoria,Australia,2020-02-27,,,,4,0,4,,,,
South Australia,Australia,2020-02-27,,,,2,0,2,,,,
From Diamond Princess,Australia,2020-02-28,,,,8,0,0,,,,
Queensland,Australia,2020-02-28,,,,5,0,1,,,,
New South Wales,Australia,2020-02-28,,,,4,0,4,,,,
Victoria,Australia,2020-02-28,,,,4,0,4,,,,
South Australia,Australia,2020-02-28,,,,2,0,2,,,,
Queensland,Australia,2020-02-29,,,,9,0,1,,,,
Victoria,Australia,2020-02-29,,,,7,0,4,,,,
New South Wales,Australia,2020-02-29,,,,4,0,4,,,,
South Australia,Australia,2020-02-29,,,,3,0,2,,,,
Western Australia,Australia,2020-02-29,,,,2,0,0,,,,
From Diamond Princess,Australia,2020-02-29,,,,0,0,0,,,,
Queensland,Australia,2020-03-01,-28.0167,153.4,POINT(153.4 -28.0167),9,0,1,,,,
Victoria,Australia,2020-03-01,-37.8136,144.9631,POINT(144.9631 -37.8136),7,0,4,,,,
New South Wales,Australia,2020-03-01,-33.8688,151.2093,POINT(151.2093 -33.8688),6,0,4,,,,
South Australia,Australia,2020-03-01,-34.9285,138.6007,POINT(138.6007 -34.9285),3,0,2,,,,
Western Australia,Australia,2020-03-01,-31.9505,115.8605,POINT(115.8605 -31.9505),2,1,0,,,,
From Diamond Princess,Australia,2020-03-01,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Queensland,Australia,2020-03-02,-28.0167,153.4,POINT(153.4 -28.0167),9,0,1,,,,
Victoria,Australia,2020-03-02,-37.8136,144.9631,POINT(144.9631 -37.8136),9,0,4,,,,
New South Wales,Australia,2020-03-02,-33.8688,151.2093,POINT(151.2093 -33.8688),6,0,4,,,,
South Australia,Australia,2020-03-02,-34.9285,138.6007,POINT(138.6007 -34.9285),3,0,2,,,,
Western Australia,Australia,2020-03-02,-31.9505,115.8605,POINT(115.8605 -31.9505),2,1,0,,,,
Tasmania,Australia,2020-03-02,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-02,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-03,-33.8688,151.2093,POINT(151.2093 -33.8688),13,0,4,,,,
Queensland,Australia,2020-03-03,-28.0167,153.4,POINT(153.4 -28.0167),11,0,1,,,,
Victoria,Australia,2020-03-03,-37.8136,144.9631,POINT(144.9631 -37.8136),9,0,4,,,,
South Australia,Australia,2020-03-03,-34.9285,138.6007,POINT(138.6007 -34.9285),3,0,2,,,,
Western Australia,Australia,2020-03-03,-31.9505,115.8605,POINT(115.8605 -31.9505),2,1,0,,,,
Tasmania,Australia,2020-03-03,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-03,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-04,-33.8688,151.2093,POINT(151.2093 -33.8688),22,1,4,,,,
Queensland,Australia,2020-03-04,-28.0167,153.4,POINT(153.4 -28.0167),11,0,1,,,,
Victoria,Australia,2020-03-04,-37.8136,144.9631,POINT(144.9631 -37.8136),10,0,4,,,,
South Australia,Australia,2020-03-04,-34.9285,138.6007,POINT(138.6007 -34.9285),5,0,2,,,,
Western Australia,Australia,2020-03-04,-31.9505,115.8605,POINT(115.8605 -31.9505),2,1,0,,,,
Northern Territory,Australia,2020-03-04,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
Tasmania,Australia,2020-03-04,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-04,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-05,-33.8688,151.2093,POINT(151.2093 -33.8688),22,1,4,,,,
Queensland,Australia,2020-03-05,-28.0167,153.4,POINT(153.4 -28.0167),13,0,8,,,,
Victoria,Australia,2020-03-05,-37.8136,144.9631,POINT(144.9631 -37.8136),10,0,7,,,,
South Australia,Australia,2020-03-05,-34.9285,138.6007,POINT(138.6007 -34.9285),5,0,2,,,,
Western Australia,Australia,2020-03-05,-31.9505,115.8605,POINT(115.8605 -31.9505),3,1,0,,,,
Northern Territory,Australia,2020-03-05,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
Tasmania,Australia,2020-03-05,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-05,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-06,-33.8688,151.2093,POINT(151.2093 -33.8688),26,1,4,,,,
Queensland,Australia,2020-03-06,-28.0167,153.4,POINT(153.4 -28.0167),13,0,8,,,,
Victoria,Australia,2020-03-06,-37.8136,144.9631,POINT(144.9631 -37.8136),10,0,7,,,,
South Australia,Australia,2020-03-06,-34.9285,138.6007,POINT(138.6007 -34.9285),7,0,2,,,,
Western Australia,Australia,2020-03-06,-31.9505,115.8605,POINT(115.8605 -31.9505),3,1,0,,,,
Tasmania,Australia,2020-03-06,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-06,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Northern Territory,Australia,2020-03-06,-12.4634,130.8456,POINT(130.8456 -12.4634),0,0,0,,,,
New South Wales,Australia,2020-03-07,-33.8688,151.2093,POINT(151.2093 -33.8688),28,1,4,,,,
Queensland,Australia,2020-03-07,-28.0167,153.4,POINT(153.4 -28.0167),13,0,8,,,,
Victoria,Australia,2020-03-07,-37.8136,144.9631,POINT(144.9631 -37.8136),11,0,7,,,,
South Australia,Australia,2020-03-07,-34.9285,138.6007,POINT(138.6007 -34.9285),7,0,2,,,,
Western Australia,Australia,2020-03-07,-31.9505,115.8605,POINT(115.8605 -31.9505),3,1,0,,,,
Tasmania,Australia,2020-03-07,-41.4545,145.9707,POINT(145.9707 -41.4545),1,0,0,,,,
From Diamond Princess,Australia,2020-03-07,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Northern Territory,Australia,2020-03-07,-12.4634,130.8456,POINT(130.8456 -12.4634),0,0,0,,,,
New South Wales,Australia,2020-03-08,-33.8688,151.2093,POINT(151.2093 -33.8688),38,3,4,,,,
Queensland,Australia,2020-03-08,-28.0167,153.4,POINT(153.4 -28.0167),15,0,8,,,,
Victoria,Australia,2020-03-08,-37.8136,144.9631,POINT(144.9631 -37.8136),11,0,7,,,,
South Australia,Australia,2020-03-08,-34.9285,138.6007,POINT(138.6007 -34.9285),7,0,2,,,,
Western Australia,Australia,2020-03-08,-31.9505,115.8605,POINT(115.8605 -31.9505),3,1,0,,,,
Tasmania,Australia,2020-03-08,-41.4545,145.9707,POINT(145.9707 -41.4545),2,0,0,,,,
From Diamond Princess,Australia,2020-03-08,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Northern Territory,Australia,2020-03-08,-12.4634,130.8456,POINT(130.8456 -12.4634),0,0,0,,,,
New South Wales,Australia,2020-03-09,-33.8688,151.2093,POINT(151.2093 -33.8688),48,3,4,,,,
Queensland,Australia,2020-03-09,-28.0167,153.4,POINT(153.4 -28.0167),15,0,8,,,,
Victoria,Australia,2020-03-09,-37.8136,144.9631,POINT(144.9631 -37.8136),15,0,7,,,,
South Australia,Australia,2020-03-09,-34.9285,138.6007,POINT(138.6007 -34.9285),7,0,2,,,,
Western Australia,Australia,2020-03-09,-31.9505,115.8605,POINT(115.8605 -31.9505),4,1,0,,,,
Tasmania,Australia,2020-03-09,-41.4545,145.9707,POINT(145.9707 -41.4545),2,0,0,,,,
From Diamond Princess,Australia,2020-03-09,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Northern Territory,Australia,2020-03-09,-12.4634,130.8456,POINT(130.8456 -12.4634),0,0,0,,,,
New South Wales,Australia,2020-03-10,-33.8688,151.2093,POINT(151.2093 -33.8688),55,2,4,,,,
Queensland,Australia,2020-03-10,-28.0167,153.4,POINT(153.4 -28.0167),18,0,8,,,,
Victoria,Australia,2020-03-10,-37.8136,144.9631,POINT(144.9631 -37.8136),18,0,7,,,,
South Australia,Australia,2020-03-10,-34.9285,138.6007,POINT(138.6007 -34.9285),7,0,2,,,,
Western Australia,Australia,2020-03-10,-31.9505,115.8605,POINT(115.8605 -31.9505),6,1,0,,,,
Tasmania,Australia,2020-03-10,-41.4545,145.9707,POINT(145.9707 -41.4545),2,0,0,,,,
Northern Territory,Australia,2020-03-10,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-10,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-11,-33.8688,151.2093,POINT(151.2093 -33.8688),65,2,4,,,,
Victoria,Australia,2020-03-11,-37.8136,144.9631,POINT(144.9631 -37.8136),21,0,7,,,,
Queensland,Australia,2020-03-11,-28.0167,153.4,POINT(153.4 -28.0167),20,0,8,,,,
South Australia,Australia,2020-03-11,-34.9285,138.6007,POINT(138.6007 -34.9285),9,0,2,,,,
Western Australia,Australia,2020-03-11,-31.9505,115.8605,POINT(115.8605 -31.9505),9,1,0,,,,
Tasmania,Australia,2020-03-11,-41.4545,145.9707,POINT(145.9707 -41.4545),3,0,0,,,,
Northern Territory,Australia,2020-03-11,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-11,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-12,-33.8688,151.2093,POINT(151.2093 -33.8688),65,2,4,,,,
Victoria,Australia,2020-03-12,-37.8136,144.9631,POINT(144.9631 -37.8136),21,0,7,,,,
Queensland,Australia,2020-03-12,-28.0167,153.4,POINT(153.4 -28.0167),20,0,8,,,,
South Australia,Australia,2020-03-12,-34.9285,138.6007,POINT(138.6007 -34.9285),9,0,2,,,,
Western Australia,Australia,2020-03-12,-31.9505,115.8605,POINT(115.8605 -31.9505),9,1,0,,,,
Tasmania,Australia,2020-03-12,-41.4545,145.9707,POINT(145.9707 -41.4545),3,0,0,,,,
Northern Territory,Australia,2020-03-12,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-12,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Tasmania,Australia,2020-03-13,-41.4545,145.9707,POINT(145.9707 -41.4545),5,0,0,,,,
New South Wales,Australia,2020-03-13,-33.8688,151.2093,POINT(151.2093 -33.8688),92,2,4,,,,
Victoria,Australia,2020-03-13,-37.8136,144.9631,POINT(144.9631 -37.8136),36,0,8,,,,
Queensland,Australia,2020-03-13,-28.0167,153.4,POINT(153.4 -28.0167),35,0,8,,,,
South Australia,Australia,2020-03-13,-34.9285,138.6007,POINT(138.6007 -34.9285),16,0,3,,,,
Australian Capital Territory,Australia,2020-03-13,-35.4735,149.0124,POINT(149.0124 -35.4735),1,0,0,,,,
From Diamond Princess,Australia,2020-03-13,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
Western Australia,Australia,2020-03-13,-31.9505,115.8605,POINT(115.8605 -31.9505),14,1,0,,,,
Northern Territory,Australia,2020-03-13,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
New South Wales,Australia,2020-03-14,-33.8688,151.2093,POINT(151.2093 -33.8688),112,2,4,,,,
Victoria,Australia,2020-03-14,-37.8136,144.9631,POINT(144.9631 -37.8136),49,0,8,,,,
Queensland,Australia,2020-03-14,-28.0167,153.4,POINT(153.4 -28.0167),46,0,8,,,,
South Australia,Australia,2020-03-14,-34.9285,138.6007,POINT(138.6007 -34.9285),19,0,3,,,,
Western Australia,Australia,2020-03-14,-31.9505,115.8605,POINT(115.8605 -31.9505),17,1,0,,,,
Tasmania,Australia,2020-03-14,-41.4545,145.9707,POINT(145.9707 -41.4545),5,0,0,,,,
Australian Capital Territory,Australia,2020-03-14,-35.4735,149.0124,POINT(149.0124 -35.4735),1,0,0,,,,
Northern Territory,Australia,2020-03-14,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-14,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-15,-33.8688,151.2093,POINT(151.2093 -33.8688),134,2,4,,,,
Queensland,Australia,2020-03-15,-28.0167,153.4,POINT(153.4 -28.0167),61,0,8,,,,
Victoria,Australia,2020-03-15,-37.8136,144.9631,POINT(144.9631 -37.8136),57,0,8,,,,
South Australia,Australia,2020-03-15,-34.9285,138.6007,POINT(138.6007 -34.9285),20,0,3,,,,
Western Australia,Australia,2020-03-15,-31.9505,115.8605,POINT(115.8605 -31.9505),17,1,0,,,,
Tasmania,Australia,2020-03-15,-41.4545,145.9707,POINT(145.9707 -41.4545),6,0,0,,,,
Australian Capital Territory,Australia,2020-03-15,-35.4735,149.0124,POINT(149.0124 -35.4735),1,0,0,,,,
Northern Territory,Australia,2020-03-15,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-15,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-16,-33.8688,151.2093,POINT(151.2093 -33.8688),171,2,4,,,,
Victoria,Australia,2020-03-16,-37.8136,144.9631,POINT(144.9631 -37.8136),71,0,8,,,,
Queensland,Australia,2020-03-16,-28.0167,153.4,POINT(153.4 -28.0167),68,0,8,,,,
South Australia,Australia,2020-03-16,-34.9285,138.6007,POINT(138.6007 -34.9285),29,0,3,,,,
Western Australia,Australia,2020-03-16,-31.9505,115.8605,POINT(115.8605 -31.9505),28,1,0,,,,
Tasmania,Australia,2020-03-16,-41.4545,145.9707,POINT(145.9707 -41.4545),7,0,0,,,,
Australian Capital Territory,Australia,2020-03-16,-35.4735,149.0124,POINT(149.0124 -35.4735),2,0,0,,,,
Northern Territory,Australia,2020-03-16,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-16,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-17,-33.8688,151.2093,POINT(151.2093 -33.8688),210,4,4,,,,
Victoria,Australia,2020-03-17,-37.8136,144.9631,POINT(144.9631 -37.8136),94,0,8,,,,
Queensland,Australia,2020-03-17,-28.0167,153.4,POINT(153.4 -28.0167),78,0,8,,,,
Western Australia,Australia,2020-03-17,-31.9505,115.8605,POINT(115.8605 -31.9505),31,1,0,,,,
South Australia,Australia,2020-03-17,-34.9285,138.6007,POINT(138.6007 -34.9285),29,0,3,,,,
Tasmania,Australia,2020-03-17,-41.4545,145.9707,POINT(145.9707 -41.4545),7,0,0,,,,
Australian Capital Territory,Australia,2020-03-17,-35.4735,149.0124,POINT(149.0124 -35.4735),2,0,0,,,,
Northern Territory,Australia,2020-03-17,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-17,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-18,-33.8688,151.2093,POINT(151.2093 -33.8688),267,5,4,,,,
Victoria,Australia,2020-03-18,-37.8136,144.9631,POINT(144.9631 -37.8136),121,0,8,,,,
Queensland,Australia,2020-03-18,-28.0167,153.4,POINT(153.4 -28.0167),94,0,8,,,,
South Australia,Australia,2020-03-18,-34.9285,138.6007,POINT(138.6007 -34.9285),37,0,3,,,,
Western Australia,Australia,2020-03-18,-31.9505,115.8605,POINT(115.8605 -31.9505),35,1,0,,,,
Tasmania,Australia,2020-03-18,-41.4545,145.9707,POINT(145.9707 -41.4545),10,0,0,,,,
Australian Capital Territory,Australia,2020-03-18,-35.4735,149.0124,POINT(149.0124 -35.4735),3,0,0,,,,
Northern Territory,Australia,2020-03-18,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-18,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-19,-33.8688,151.2093,POINT(151.2093 -33.8688),307,5,4,,,,
Queensland,Australia,2020-03-19,-28.0167,153.4,POINT(153.4 -28.0167),144,0,8,,,,
Victoria,Australia,2020-03-19,-37.8136,144.9631,POINT(144.9631 -37.8136),121,0,8,,,,
Western Australia,Australia,2020-03-19,-31.9505,115.8605,POINT(115.8605 -31.9505),52,1,0,,,,
South Australia,Australia,2020-03-19,-34.9285,138.6007,POINT(138.6007 -34.9285),42,0,3,,,,
Tasmania,Australia,2020-03-19,-41.4545,145.9707,POINT(145.9707 -41.4545),10,0,3,,,,
Australian Capital Territory,Australia,2020-03-19,-35.4735,149.0124,POINT(149.0124 -35.4735),4,0,0,,,,
Northern Territory,Australia,2020-03-19,-12.4634,130.8456,POINT(130.8456 -12.4634),1,0,0,,,,
From Diamond Princess,Australia,2020-03-19,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-20,-33.8688,151.2093,POINT(151.2093 -33.8688),353,6,4,,,,
Queensland,Australia,2020-03-20,-28.0167,153.4,POINT(153.4 -28.0167),184,0,8,,,,
Victoria,Australia,2020-03-20,-37.8136,144.9631,POINT(144.9631 -37.8136),121,0,8,,,,
Western Australia,Australia,2020-03-20,-31.9505,115.8605,POINT(115.8605 -31.9505),64,1,0,,,,
South Australia,Australia,2020-03-20,-34.9285,138.6007,POINT(138.6007 -34.9285),50,0,3,,,,
Tasmania,Australia,2020-03-20,-41.4545,145.9707,POINT(145.9707 -41.4545),10,0,3,,,,
Australian Capital Territory,Australia,2020-03-20,-35.4735,149.0124,POINT(149.0124 -35.4735),6,0,0,,,,
Northern Territory,Australia,2020-03-20,-12.4634,130.8456,POINT(130.8456 -12.4634),3,0,0,,,,
From Diamond Princess,Australia,2020-03-20,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-21,-33.8688,151.2093,POINT(151.2093 -33.8688),436,6,4,,,,
Victoria,Australia,2020-03-21,-37.8136,144.9631,POINT(144.9631 -37.8136),229,0,8,,,,
Queensland,Australia,2020-03-21,-28.0167,153.4,POINT(153.4 -28.0167),221,0,8,,,,
Western Australia,Australia,2020-03-21,-31.9505,115.8605,POINT(115.8605 -31.9505),90,1,0,,,,
South Australia,Australia,2020-03-21,-34.9285,138.6007,POINT(138.6007 -34.9285),67,0,3,,,,
Tasmania,Australia,2020-03-21,-41.4545,145.9707,POINT(145.9707 -41.4545),16,0,3,,,,
Australian Capital Territory,Australia,2020-03-21,-35.4735,149.0124,POINT(149.0124 -35.4735),9,0,0,,,,
Northern Territory,Australia,2020-03-21,-12.4634,130.8456,POINT(130.8456 -12.4634),3,0,0,,,,
From Diamond Princess,Australia,2020-03-21,35.4437,139.638,POINT(139.638 35.4437),0,0,0,,,,
New South Wales,Australia,2020-03-22,-33.8688,151.2093,POINT(151.2093 -33.8688),669,6,4,659,,,"New South Wales, Australia"
Victoria,Australia,2020-03-22,-37.8136,144.9631,POINT(144.9631 -37.8136),296,0,70,226,,,"Victoria, Australia"
Queensland,Australia,2020-03-22,-27.4698,153.0251,POINT(153.0251 -27.4698),259,0,8,251,,,"Queensland, Australia"
Western Australia,Australia,2020-03-22,-31.9505,115.8605,POINT(115.8605 -31.9505),120,1,1,118,,,"Western Australia, Australia"
South Australia,Australia,2020-03-22,-34.9285,138.6007,POINT(138.6007 -34.9285),100,0,6,94,,,"South Australia, Australia"
Tasmania,Australia,2020-03-22,-42.8821,147.3272,POINT(147.3272 -42.8821),22,0,3,19,,,"Tasmania, Australia"
Australian Capital Territory,Australia,2020-03-22,-35.4735,149.0124,POINT(149.0124 -35.4735),19,0,0,19,,,"Australian Capital Territory, Australia"
Northern Territory,Australia,2020-03-22,-12.4634,130.8456,POINT(130.8456 -12.4634),5,0,0,5,,,"Northern Territory, Australia"
External territories,Australia,2020-03-22,,,,0,0,0,0,,,"External territories, Australia"
Jervis Bay Territory,Australia,2020-03-22,,,,0,0,0,0,,,"Jervis Bay Territory, Australia"
